d,u,t,b
"03.02.2013, 23:31",Castro,[Free] Office shelving system [Basel],"High quality shelving system consisting of 20 solid wood shelves with aluminium brackets and wall rails.
Its all been dismantled now (shelves, brackets, fixings) and is ready to be carried away.
As per the section title, its free to the first person to come around and collect (Liestal, Basel Land). It should all fit into a family hatchback.
Cheers"
"03.02.2013, 18:17",ovaho,Basel : Bulky old TV for free,"I have a bulky old TV to give away.
Size is about 20 inch, I guess.
Still works fine, no remote control with it.
Any interest, please do PM me."
"27.01.2013, 21:32",jmf,Free plastic foldable chairs,"Giving away 4 foldable plastic chairs. Can be picked up almost any time in Windisch, AG.
I've really no clue why the photo is rotated, displays fine on my machine"
"30.01.2013, 11:40",Richdog,FREE: Two pairs of curtains (8045 Zurich),"I have two pairs of curtains to get rid of, both are the same style as these:Chocolate: Curtina Harvard Spice Eyelet Lined Curtain http://www.amazon.co.uk/Harvard-Eyel...9542183&sr=1-3Red & Orange: Curtina Harvard Spice Eyelet Lined Curtain http://www.amazon.co.uk/Curtina-Harv...6&sr=1-3-fkmr0
Measurements  for each individual curtain are to best estimates 46"" (116.84cm) wide x 54"" (140cm) drop, so suitable for smaller windows.
All are in decent condition, though may need a bit of ironing.
Pick up very central near to Sihl City, Zurich.
PM if interested.  NO MORE PMS for the moment please, I have 3-4 people interested now so I imagine they will be gone by the end of the week. If not, I will update the thread. Thanks!"
"03.02.2013, 10:39",karun,Wanted/Moving Boxes,"Hi All,
If any one will to give 5 to 6 moving boxes..please let us know...
Thanks."
"30.01.2013, 16:15",rob1,One for the spotters....  - BASEL.,"For free Thai airways baseball cap. 1 size fits all.
given to me by the boss of the Thai heavy maintenance hangar in BKK earlier this month.
never worn
collect in BASEL near the SBB.
I will not post it or deliver, its free so if you want it,  come get it."
"01.02.2013, 16:11",mmd585,Plats for free  Zürich,"Plats for free(Zürich, Milchbuck area) as leaving Switzerland.Everything has to go before February 9thHere the pitcures of the plants as I dont know how they are called http://www.flickr.com/photos/9186002...7632661251045/"
"26.01.2013, 20:28",u12km5,Free standing light (Basel),Free standing light available in Basel. As good as new.
"21.01.2013, 06:22",henrytkhau,FREE furniture and household items ZH,"Hi 
the following items can be picked up for free next Monday 28th Jan
between 9am-1pmMicrowave TV table (Glass and metal) with shelf Vacuum cleaner with hepa filter SMall bookshelf Powerstrips with master on/off button Iron 2 Easychairs (see pic) Wardrobe white, 2 door, with drawers.  Needs reassembly Bed with drawers and 2 hi-tech mattresses 200cmx160cm Small white chair with back 2 seater black sofa with storage (faux black leather) 
Address Myplace Warehouse
Grubenstrasse 28
8045 Zürich
Regards
Henry"
"30.01.2013, 22:04",Janice,Moving Boxes,"I have about 20 moving boxes, average size around 60 x 45 cm
Must pick up.  Frenkendorf"
"28.01.2013, 23:19",DrinaRen,Billy bookcases for free (Zurich),"https://picasaweb.google.com/1174623...eat=directlink
Collect from Hongg, Zurich, 8049"
"30.01.2013, 13:59",V__,FREE: Philips 28'' (70cm) TV Lausanne (Pully),"Hi, if anyone wants a big TV I have one that I plan on throwing away, so if anyone wants it - here it is:
Model number 28 PW 6005
It works fine with the black remote from cablecom I think I have the original remote somewhere but I am not sure if that one works. Bought some 10 years ago.
It is VERY heavy, so either come with a friend otherwise I can give you a hand to load it to your car."
"30.01.2013, 13:18",rosrae,[FREE] Martello Cafe Light Coffee Capsules [LAUSANNE],"If anyone would like a packet of Martello Cafe Light that I recently bought thinking would fit my N**** machine (but don't!), please PM me.  Collection would be from Lausanne or Pully."
"29.01.2013, 16:35",chiaero,Free: Dark Brown Rug ZH,"Free dark brown rug, in 8001 Zurich, good condition. 140x200 cm, pick up must be before 31 January, or early on 31 January."
"27.01.2013, 19:11",Philippa,Free: 2x tall ikea bookcases. Pickup Dubendorf,"Two tall ikea bookcases free to a good home. 
Dimensions; width 1m, height 2.35m
7 shelves (not including content in pic!)
Pickup from Dubendorf
Hope the pic works."
"14.01.2013, 19:05",NotAllThere,(Free:Basel) Dining Table,"Yew dining table, with removable centre section. 
215cm x 100cm (including centre section)
142cm x 100cm (without centre section)
Height 73cm.
A little worn, but a perfectly serviceable dining table. (Chairs, rug, coasters, piano, telescope, cardigan etc... not included!). PM me if you want it."
"22.01.2013, 11:57",josep,"Book for German certificate ""Mit Erfolch zu TELC Deutsch B2""","Does anyone have this book in Zürich area and could lend me it for two weeks?! 
Thank's!!"
"29.01.2013, 16:53",everyday-a-new-dress,free: lamp (baden),Free lamp.
"29.01.2013, 16:26",everyday-a-new-dress,Free: Cooking book in Italian (Baden),Betty Bossi La Cuisine Italienne
"29.01.2013, 08:55",sbn,10% discount at Fleurop before Mother's Day,"Just thought worth sharing, with the Mother's Day approaching:
Fleurop has an early booker promotion: 10% discount on orders for Mother's Day, that are sent before February 7.10% discount promotion at Fleurop"
"27.01.2013, 17:31",pixie4bears,Free: Black Side Table,"I have a small black side table to give away.
It is this one: http://www.ikea.com/us/en/catalog/pr...270/#/20011408
Pick up in Kloten (located by Zurich Airport)
To make your trip worthwhile I have other items for sale and free pictured here: http://www.flickr.com/photos/91521945@N03/"
"28.01.2013, 17:50",everyday-a-new-dress,New man jacket (military green with hat) (Baden),"Giving away a new man jacket, casual/sportive style with hat (can be dimantled), estimate for 175 man.  Military green."
"20.01.2013, 11:40",Cybersuz,Free! 140 x 200cm Mattress  - Adliswil,"Hi all,
We are moving and have a 140cm x 200cm innerspring mattress(with removable, washable cover) to give away.  Like new, only slept on a few times. 
.To be collected from Adliswil."
"11.01.2013, 15:15",rohanhpt,[Wanted] Novel - Stephenie Meyer - Twilight,"Does anyone have the novel Twilight by Stephenie Meyer?
I have not found any place in Basel that sells used novels at a cheap price. Hence looking on the forum.
I do not mind paying for postage in case you are willing to send it by post. Thank you."
"24.01.2013, 15:33",Natalia0303,Free bits and bobs,"FREE
Never worn Beaded necklace 
Marks and Spencer Winne the Pooh 2013 Diary
Little plant pot (height 8cm, diameter 10cm)
Key ring 'girls like us deserve the best plus a little extra'
Pick up in Wollishofen"
"27.01.2013, 20:14",stacy22,Free dining set Zurich 8005,Interio dining set. 4 green chairs and glass table with white legs purchased new in May 2011. Table is 80x80. Must be able to pick it up by Wednesday morning at 8:00 am. Moving back to the US. Please PM me if you're interested.
"22.01.2013, 19:20",Mattyweiss,Free ikea wardrobe (zurich),"Hi all,
I have an Ikea wardrobe that is free to go to a good home. It's 9 months old and in good condition. It is currently in my old apartment in the Hardbruecke/Langstrasse area of Zurich and I'd like to get rid of it before the end of the week if possible. 
Wardrobe dimensions are:
Width: 140 cm
Depth: 51 cm
Height: 181 cm
If you are interested in picking it up, just send me a PM."
"27.01.2013, 12:15",jeromepineau,Giving Away Furniture! (Vaumarcus close to Neuchatel),"Heading back to the US I would like to unload a rectangular sofa, 2 night tables, a couple Italian bar stools, and a queen size boxspring bed+mattress if anyone's interested PM me please."
"27.01.2013, 14:28",Gully,Free - Office Storage Cupboards [Aargau],"Hi 
I have the cupboards shown below to give away.  They are old, but they work.  I will take them to be skipped on Saturday if there are no takers.
W 155cm H 220cm D 60cm
They can be picked up near Bremgarten in Aargau.
Thanks
Gully"
"26.01.2013, 15:38",Devyn,Free DVD & CD cases,I have around 150-200 DVD and CD cases (mainly DVD) up for grabs. Hard to believe that shops actually sell these. Covers are still inside. Pick up Pfaffhausen 8118. PM if interested.
"15.01.2013, 12:23",ric,Various free household items - Zürich,"I'm leaving the country for a job in Brisbane so everything must go. I'm located between Milchbuck and Radiostudio tram stops.
I've some electronics for sale here http://www.englishforum.ch/sale-want...ectronics.html but this is the free stuff I don't want:
One hammock! very similar to this - GONE
Two Sony speakers from this excellent stereo system. The CD player broke several years ago but I kept the speakers due to their excellent quality. - GONE
One Miter Saw for sawing angles accurately - used once or twice (as I couldn't find any wood for picture framing in Switzerland). - GONE
One wooden folding picnic table. Excellent for camping, bbq's etc. Has some wear. - GONE
One standard humidifier, big enough for a room or apartment. - GONE
Two wide IKEA rolling window blinds. Note the window blinds are about 100cm or 120cm so much wider then this one here. - GONE
Black generic coat stand.
Pair of long wellington boots! Bought at Glastonbury 2008, used once or twice for festivals. - GONE
One inflatable boat, fits two people. It's survived many trips, where other boats have perished.  - GONE
Inflatable chairFloating inflatable beer cooler!
One good quality bean-bag. good condition but was unsecured during a previous move so has some marks from moving around a removal van floor. One scrub and they should come out. - GONE
AIWA record player.
Bodum small glass teapot with stand. - GONEDoorway chin-up bar - GONECrumpler medium camera bag, red - GONE"
"08.10.2012, 17:03",corey.dolak,"Free:  Couches, Coffee Table, End Table, Desk [Oerlikon ZH]","Hello,
I am offering up the following items for free:
1.  Beige ""L"" shaped couch
2.  Navy blue couch - folds out to somewhat of a quasi-bed
3.  Coffee table (TV and other stuff not included!)
4.  End table
5.  Desk
As you will see in the pictures, they are not in brand new condition (all 3 years old) but certainly there is some life left in them.  Priority would be to those willing to take the whole lot at once.  
All items must be picked up by Thursday of this week."
"23.01.2013, 11:14",Altyn,chest of drawers + bed-side table,"a chest of drawers and a bed-side table 
free to pick up in Wallisellen"
"24.01.2013, 15:22",Natalia0303,H30 + Telios Arianne Hoover Bags,"H30+ Telios Arianne Hoover bags. One box with 3 bags left. 
We have switched hoovers and no longer need them. 
Pick up in Wollishofen"
"24.01.2013, 20:51",solguden25,FF: VGA monitor cable,"Dear EF,
I bought a VGA monitoring cable to connect my computer to my TV but never used it.
It's collecting dust, so whoever needs it, it's here to collect asap.
Thanks
solguden25"
"24.01.2013, 20:07",everyday-a-new-dress,Free: Vacuum cleaner bags (baden),"Model: SA+15
Number:4 bags"
